hash,time,message,buggy
bbdd574,2016-05-24T22:54:03,Removed some memory leaks is SSA neighbor list,0.0
97b8a30,2016-05-24T23:31:31,Blocked fix rigid,0.0
d60fbe4,2016-05-24T23:34:10,Blocked fix rigid,0.0
edbb8bc,2016-05-25T20:09:34,Fixed uninitialized variables,1.0
71c3600,2016-05-26T17:27:15,Added Axel's improvement,0.0
d7c5025,2016-05-31T13:58:37,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15068 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
8fa5409,2016-05-31T14:48:46,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15069 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
0a01592,2016-05-31T14:49:26,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15070 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
9d3d619,2016-05-31T14:49:49,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15071 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
402b7a7,2016-05-31T14:53:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15072 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
6f75d43,2016-05-31T14:55:17,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15073 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
6567493.0,2016-05-31T15:02:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15074 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
27725be,2016-05-31T15:03:16,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15075 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
cbc5b8b,2016-05-31T15:30:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15076 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
c918739,2016-05-31T16:04:35,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15077 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
32ba200,2016-05-31T16:07:15,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15078 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
5b94aa3,2016-05-31T16:08:29,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15079 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
04e401a,2016-05-31T16:20:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15080 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
fde2d58,2016-05-31T16:21:23,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15081 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
7e74509,2016-05-31T16:26:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15082 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
876b033,2016-05-31T16:33:07,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15083 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
ac14f5b,2016-05-31T16:38:36,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15084 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
4c107f4,2016-05-31T16:39:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15085 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
3c11e66,2016-05-31T16:41:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15086 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
194a512,2016-05-31T16:45:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15087 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
17e44d1,2016-05-31T16:50:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15088 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
414c1b0,2016-05-31T16:50:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15089 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
0a56b26,2016-05-31T16:51:19,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15090 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
9182047.0,2016-05-31T16:52:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15091 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
08c8d65,2016-05-31T16:53:09,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15092 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
5c19a0d,2016-06-01T15:07:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15094 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
e653da1,2016-06-02T14:03:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15095 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
a1d64b9,2016-06-02T14:05:29,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15096 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
126ae91,2016-06-02T14:05:40,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15097 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
2a21b1a,2016-06-02T14:06:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15098 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
164245.0,2016-06-02T14:07:44,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15099 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
15068b6,2016-06-02T14:08:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15100 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
d26d71f,2016-06-02T14:09:19,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15101 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
0c89f35,2016-06-02T14:10:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15102 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
10be4c0,2016-06-02T14:12:27,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15103 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
195c521,2016-06-02T14:14:17,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15104 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
bb45a5e,2016-06-02T14:14:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15105 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
1a52795,2016-06-06T23:17:05,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15108 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
0f3e418,2016-06-06T23:21:39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15109 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
921133d,2016-06-06T23:22:33,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15110 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
c2cca5d,2016-06-06T23:40:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15112 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
3411192.0,2016-06-06T23:41:23,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15113 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
930e2aa,2016-06-07T13:44:22,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15115 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
78c5aaf,2016-06-07T14:48:10,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15116 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
97ae23a,2016-06-07T14:49:54,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15117 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
2927a9a,2016-06-07T15:20:19,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15118 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
9fbe666,2016-06-07T15:20:33,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15119 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
7cb2b01,2016-06-07T15:29:39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15120 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0.0
