hash,time,message,buggy
cfae8d2,2016-08-23T18:38:00,"Revert ""Removed Bazaar dependency and updated warnings in makemake""",0.0
436a344,2016-08-23T18:38:00,"Revert ""[buildsys] Imported CPP option fixer""",0.0
fd0390b,2016-08-23T18:38:01,"Revert ""[buildsys] Upgraded CPP options in test scripts""",0.0
2987238.0,2016-08-23T18:38:01,"Revert ""[buildsys] Upgraded CPP options in build-system internals""",0.0
8a35ceb,2016-08-23T18:38:01,"Revert ""Made sure ViM swap files are ignored within the Abinit source tree""",0.0
27ca728,2016-08-23T18:38:01,"Revert ""[buildsys] Removed stale references to obsolete CPP options""",0.0
d024975,2016-08-23T18:38:01,"Revert ""[buildsys] Re-upgraded CPP options in build-system internals after including recent ones""",0.0
80f847d,2016-08-23T18:38:01,"Revert ""[buildsys] Upgraded CPP options in test inputs""",0.0
00ba060,2016-08-23T18:38:01,"Revert ""[buildsys] Re-upgraded CPP options in the source code after including recent ones""",0.0
8d2ae6f,2016-08-23T18:38:02,"Revert ""[buildsys] Upgraded CPP options in source code""",0.0
9243553.0,2017-01-26T15:44:25,Upgraded PSML support to v1.0.1 API,0.0
dba7260,2017-01-31T14:42:14,Merge remote-tracking branch 'trunk/release-8.2.1',0.0
d0d0884,2017-01-31T15:12:42,Restored damages caused by the latest merge,0.0
23d6722,2017-01-31T17:24:20,Fixed typo calling new PSML routine,0.0
90cfbb6,2017-02-08T13:33:34,Upgraded PSML pseudos to version 1.0 of the format,0.0
a45a073,2017-03-28T08:51:49,Multibinit:add generator for 2 3 and 4th order coefficients,0.0
c34d5d2,2017-03-28T08:52:14,Multibinit:add generator for 2 3 and 4th order coefficients,0.0
bde3aa0,2017-03-28T16:55:51,multibinit: improve the reading of coefficient from XML and update ref,0.0
c545fa0,2017-04-07T13:27:31,multibinit: add confinement potential type,0.0
6c16042,2017-04-07T15:24:00,Multibinit: remove print of supercell positions in the output and update ref,0.0
447254f,2017-04-18T08:55:35,Merge tag 'start-8.3.3' into develop,0.0
c607ae6,2017-04-28T12:54:21,Typos,0.0
cc118a3,2017-04-28T12:57:18,Merge remote-tracking branch remotes/origin/_jollet/3373 into trunk_gonze,0.0
f171552,2017-04-28T14:09:08,Move tests v7#68 and 69 to 78 and 79 . Also correct typos.,0.0
b3368ca,2017-04-28T14:33:41,Add test libxc#51 . Also correct typos and upload v7#78 and 79 replacing 68 and 69,0.0
b0db6f0,2017-04-28T14:50:18,Continue to create Tlibxc#51 (PBE0 using libxc),0.0
8d68c12,2017-04-28T14:58:23,Create tests libxc #52 and 53  for HSE06 NC  NSE03 NC and HSE06 PAW,0.0
01c5f61,2017-04-28T14:59:26,Input files for tests libxc 52 and 53,0.0
89fc631,2017-04-28T15:54:43,Fix a bug in Fock parallel  with metallic occupations   document the LibXC options for hybrid functionals,1.0
0af52f0,2017-04-28T16:11:20,Fix minor problems in input files,1.0
e444775,2017-05-01T13:47:40,libxc#51 input file (PBE0) : fix doc and also value,0.0
38eebc0,2017-05-01T14:15:03,Add Refs files for libxc#51 and 52 . Also tune input files for libxc#52 and 53. Disable libxc#53 (HSE06+PAW)  because it stops at present.,0.0
206f110,2017-05-02T08:52:40,Fix typos and incoherencies in the doc  related to densfor_pred .,0.0
4aac718,2017-05-02T08:59:09,Suppress useless section,0.0
5c141d5,2017-05-02T09:06:07,Reenable Tlibxc#53 + fix typo,0.0
6160091.0,2017-05-02T11:38:43,Modify test libxc#53  and provide ref   fix typos in docs  and correct other stuff for densfor_pred,0.0
8a8106e,2017-05-02T12:39:23,Correct the position of densfor_pred in the echo .,0.0
8c5d315,2017-05-02T12:52:53,Fix erroneously removed lines,1.0
a0930b3,2017-05-02T13:03:53,Fix incorrect filter in check_kxc (my fault)  adjust tolerance for Tv7#94,1.0
74f9f68,2017-05-02T15:40:12,Implement correction to forces for hybrid functionals  non-zero values of densfor_pred.,0.0
8c7aeff,2017-05-02T16:10:29,Defines a third dataset in Tlibxc#53  that works for densfor_pred=6,0.0
261d0fb,2017-05-03T09:19:23,Fix bug  that was preventing the kxc to be stored,1.0
b1f8dca,2017-05-05T15:53:36,added symmetry comment to elastic tutorial,0.0
a7eb669,2017-05-08T12:09:05,Initialize the .ac files for v8.4.0,0.0
b43e9d2,2017-05-08T14:21:01,Complete statistics for v8.4,0.0
671d8d6,2017-05-09T07:48:07,Complete statistics for v8.4,0.0
afa1bc9,2017-05-09T07:51:09,Merge branch 'release-8.4.0' into develop,0.0
ea8ff1d,2017-05-11T14:27:29,multibinit: add initialization for the fit and add restartxf -3,0.0
8834c5c,2017-05-11T14:27:44,multibinit: add initialization for the fit and add restartxf -3,0.0
ca6a0f4,2017-05-11T14:36:31,Merge tag 'start-8.5.0' into develop,0.0
ce41d53,2017-05-11T14:56:55,multibinit: quick fix after the merge of the trunk,0.0
69adb39,2017-05-13T11:15:47,modification to support gcc 7.1,0.0
84d6a97,2017-05-13T11:25:24,Merge remote-tracking branch 'remotes/trunk/develop' into develop,0.0
586214b,2017-05-13T22:09:03,reactivate scalapack on graphene,0.0
5.7e+41,2017-05-14T22:53:13,preparation to support hpc,0.0
a711ffb,2017-05-16T16:49:16,multibinit: first implementation of the fit process,0.0
044c8c3,2017-05-16T16:55:10,quick fix in mover  remove useless error message,1.0
37613ec,2017-05-16T21:52:01,continue preparation to support hpc,0.0
22a40c5,2017-05-16T22:33:37,cleaning,0.0
7f4b5b3,2017-05-17T13:38:19,Merge remote-tracking branch 'remotes/trunk/develop' into develop,0.0
85025af,2017-05-18T10:13:27,fix depends for macrcoave bigDFT fallback no more actived by default,1.0
9180457.0,2017-05-18T11:13:56,Small change in a openMP directive,0.0
27e4092,2017-05-19T11:38:35,check sync github,0.0
90bb16e,2017-05-19T15:38:51,Small change in PIMD linear constraint computation,0.0
42dc28a,2017-05-19T16:20:02,Update ref file due to previous change,0.0
20e7ec1,2017-05-21T14:45:04,Update basic doc files  in sync with update of Web pages.,0.0
f90e8d1,2017-05-21T14:50:59,Merge remote-tracking branch torrent/quickfixes/42dc into _torrent-8.4.0,0.0
acd2c63,2017-05-21T15:45:24,Update link,0.0
e32d0ec,2017-05-21T19:25:59,Minor fix of a link,0.0
3cd6844,2017-05-21T19:50:00,Remove spatial inversion only if nspden == 4 AND pawspnorb > 0,0.0
87a6b01,2017-05-21T20:27:16,Remove inversion only if usepaw == 1 and ...,0.0
e9e44a6,2017-05-22T12:04:42,Use HTML encoded name for &. optic input on the web-site has weird   at the end,0.0
dab45dd,2017-05-22T13:39:25,Update v7[5] to account for new spgroup and minor numerical diffs,0.0
f780413,2017-05-22T16:21:14,Fix file names in toptic_3.files,1.0
1f02dd6,2017-05-23T06:05:36,Merge remote-tracking branch gmatteo/optic_doc/f780 into _gmatteo-8.4.0,0.0
8f5d6aa,2017-05-24T09:16:48,Add error message when npfft > 1 and nthreads >1,0.0
c11d351,2017-05-24T09:37:26,Merge remote-tracking branch bieder/hotfix-npfft/8f5d into _bieder,0.0
3f1ef61,2017-05-24T09:46:11,Updated KNOWN_PROBLEMS  for finalization of v8.4.0,0.0
f22be08,2017-05-24T11:23:18,multibinit: debug fit process,0.0
f84f60f,2017-05-24T11:45:16,Merge branch '_bieder' into release-8.4.0,0.0
