hash,time,message,buggy
8c509e2,2017-06-02T09:38:14,multibinit: debugged the fit process and add headers to the routines,0.0
068baf9,2017-06-02T11:56:05,multibinit: add check in the fit process for strten,1.0
6cef01b,2017-06-02T11:56:33,Merge remote-tracking branch 'trunk/develop' into develop,0.0
951c596,2017-06-06T12:24:01,multibinit: add option in order to fix some coeff in the fit process,1.0
c9ccd38,2017-06-09T10:21:42,"Commit of a new directory ""input-web"" in the directory doc  to manage input variables with ABINIT features.",0.0
50f40d1,2017-06-09T10:28:08,2 files removed in doc/input-web,0.0
f1ffd58,2017-06-14T14:58:49,Update with input-web,0.0
736df84,2017-06-20T12:27:38,multibinit: add single file for the xml and new generator of coefficients and update ref,0.0
daa0def,2017-06-20T14:11:08,multibinit: print rprimd in column in the XML and update ref,0.0
c9b9d0c,2017-06-20T15:27:18,small fix in the MPI of the fit process,1.0
86fbb31,2017-06-21T09:14:26,small debug for farmtest,0.0
304b0de,2017-06-22T10:48:33,add distribution of the memory for the fit process in MPI,0.0
857ab3c,2017-06-22T12:24:43,small bug fixed for farmtest,1.0
755565b,2017-06-22T19:40:35,Merge trunk/develop,0.0
fc8dfba,2017-06-23T13:44:39,modification of pawpsp for LDA-1/2 calculation,0.0
ee48e94,2017-06-23T13:55:22,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
5e36608,2017-06-26T11:04:59,modification for LDA-1/2,0.0
36fe3f8,2017-06-27T10:17:22,Add mdtemp in HIST file since it can be usefull for post-process,0.0
7f43940,2017-06-27T12:01:24,mise à jour temp_tddft dans playground,0.0
8c5072b,2017-06-27T12:07:42,Merge remote-tracking branch 'trunk/input-web' into input-web,0.0
5c42117,2017-06-27T14:49:12,Put back the archives (will be suppressed later),0.0
5bb4eae,2017-06-27T15:31:37,Merge remote-tracking branch 'trunk/input-web' into input-web,0.0
7d27527,2017-06-27T16:08:29,ajout de abiref.bib,0.0
d2e883d,2017-06-27T16:20:45,nettoyage input-web et playground,0.0
2820a9d,2017-06-27T21:08:39,"Update Abivars.jar : compacted the ""Default"" box.",0.0
b8bb10f,2017-06-28T08:41:46,Merge branch 'develop' into input-web,0.0
6a24ba0,2017-06-28T08:43:25,Issue python abi_yml2html.py,0.0
16b0f81,2017-06-28T14:31:58,Allow links to be created automatically from content of template. Also mv DOC_EFIELD_BEC_DIEL to documents.,0.0
dc9e9ec,2017-06-28T14:34:18,Copy the needed files in the new playground.,0.0
c607fef,2017-06-28T15:37:10,Create yml_templates  read yml_templates/template_varhtml.yml,0.0
ab72083,2017-06-28T16:11:06,Code the treament of varbas.html . Not yet debugged.,0.0
4a70269,2017-06-28T16:48:47,improve memory distribution in the fit process of multibinit,0.0
e5a49fa,2017-06-28T17:52:36,Merge branch 'input-web' of gitlab:/trunk/abinit into input-web,0.0
c2bb412,2017-06-28T21:09:13,A first version for generation of varbas.html from varbas.ylm is working.,0.0
1baac62,2017-06-29T08:56:41,Merge remote-tracking branch 'trunk/develop' into develop,0.0
7e0bbc3,2017-06-29T10:47:23,add v8[13-14] automatic tests for the fit process of multibinit,0.0
cd7dbcb,2017-06-30T14:53:06,Reordered methods writing the DDB.,0.0
78c4d5e,2017-06-30T14:54:12,Merge remote-tracking branch 'trunk/develop' into develop,0.0
5450e7a,2017-06-30T15:19:59,création des fichiers temp_recursion et temp_Wavelets,0.0
7db11d0,2017-06-30T15:21:56,debug fit process of multibinit and update refs for tests,0.0
e131d18,2017-06-30T15:23:37,Use the file sections.yml as a generic file to contain all information on specific var* files.,0.0
7f0398d,2017-06-30T16:01:11,Write a function that read a yml file  with proper treatment of the echo.,0.0
e25f659,2017-06-30T16:23:06,"The writing of the ""normal"" var* files is rationalized.",0.0
2e27a29,2017-06-30T16:49:41,"Complete the sections.yml file with the ""default"" section   complete the definition of the Section class.",0.0
5a1a1f2,2017-06-30T16:54:01,add paral test for the fit process of multibinit,0.0
f525ac4,2017-06-30T20:09:06,Now works on the test case sections.yml  containing default. Should be more tested  though  allowing to overwrite the default..,0.0
a763c6b,2017-06-30T21:02:52,Defined ddb_hdr_type and some of its subroutines.,0.0
844dd15,2017-06-30T23:26:37,respfn now initializes a ddb_hdr and calls ddb_hdr_open_write,0.0
36a1b3c,2017-07-01T06:33:31,"Use the getattr function instead of my ""extract ..."" function (suggested by Matteo !)",0.0
fd57331,2017-07-01T07:14:23,Merge remote-tracking branch 'remotes/jollet/input-web' into input-web,0.0
364633.0,2017-07-01T07:25:19,Upgrade the playground to the modifs made by François.,0.0
da0b7d9,2017-07-01T09:57:36,Fixing too many deallocations.,1.0
fbdb574,2017-07-01T10:26:20,Fixing deallocations.,1.0
a960b7f,2017-07-01T14:52:19,Still fixing the deallocations.,1.0
1551fdb,2017-07-01T15:55:04,Again  fixing deallocations.,1.0
bcfcb69,2017-07-02T11:46:17,Fixing deallocation...,1.0
d903c9a,2017-07-02T13:54:44,Creature comfort make it painless.,0.0
773ed76,2017-07-02T14:59:27,Debugging...,0.0
c31cee8,2017-07-02T16:32:12,signs of life,0.0
915f301,2017-07-02T18:14:36,Now the specials.html is generated like the var*.html files.,0.0
e2b0505,2017-07-03T05:58:05,Fixed bugs,1.0
5b21d05,2017-07-03T06:17:18,"Start to simplify the ""topics"" section.",0.0
925b630,2017-07-03T06:22:25,Clean !,0.0
43602ec,2017-07-03T08:33:58,Simplify,0.0
3b79c8a,2017-07-03T08:46:14,Simplify again,0.0
d9aa85d,2017-07-03T09:07:24,Simplify !,0.0
bfe3d44,2017-07-03T09:12:48,Simplify,0.0
c309c7b,2017-07-03T09:44:23,Simplify,0.0
0cea3a3,2017-07-03T09:49:24,Explain better the content of the sections.yml file.,0.0
ef0c924,2017-07-03T10:44:09,add paral test for the fit process,0.0
c2ae76b,2017-07-03T10:52:38,Initiate the new generation of topic files,0.0
82d8cb5,2017-07-03T11:00:03,add constraint to the tests related to the fit process : HAVE_NETCDF,0.0
c8752a3,2017-07-03T11:02:39,Looking for signs of life.,0.0
e2373d9,2017-07-03T11:59:15,Born in a diamond mine,0.0
8a23f46,2017-07-03T12:41:12,Merge remote-tracking branch 'trunk/develop' into develop,0.0
ff96395,2017-07-03T14:20:55,Fixing non-ascii characters.,1.0
97b289c,2017-07-03T14:36:32,quick fixes for the new paral tests,1.0
3cb5ca9,2017-07-03T16:16:57,Continue to work on the automatic generation of the topic files,0.0
01809b0,2017-07-03T17:41:11,Debugging ascii problem.,0.0
934d7b3,2017-07-03T18:12:54,The automatic generation of the file topic_DFT+U.html file seem to work.,0.0
21053ef,2017-07-03T20:26:17,topic_DFT+U.html and topic_hf.html are now OK,0.0
dfb9160,2017-07-04T05:39:56,Generates the list of topics automatically using the new implementation.,0.0
0df0fe6,2017-07-04T06:07:19,The new machinery to treat topics is now in place. Need translating the old files  and then cleaning the script (old sections are still generated !),0.0
f05c397,2017-07-04T06:13:41,Initialize v8.5.2,0.0
4b8bac3,2017-07-04T08:41:13,Merge branch 'develop' into input-web,0.0
3b49f61,2017-07-04T09:01:53,Constitution of the table of content flexibility checked.,0.0
d99b7c2,2017-07-04T09:05:58,"Remove references to ""sec3"" for input variables and to ""sec4"" for input files",0.0
1fef02d,2017-07-04T09:57:41,"Add the possibility to have an ""Examples"" section.",0.0
b99c6b3,2017-07-04T10:15:42,Transfer list_of_topics.yml to yml_templates,0.0
d6469f8,2017-07-04T10:26:43,Start to update the doc/input_variables directory,0.0
d9c0182,2017-07-04T10:29:17,mv tests_dirs.yml -> yml_templates/tests_dirs.yml,0.0
9208729.0,2017-07-04T10:35:45,The new mechanism should be working correctly in doc/input_variables,0.0
a404bd1,2017-07-04T10:37:20,Fix,1.0
7e6fc8f,2017-07-04T10:56:44,Big upgrade of the generated files.,0.0
a1c046a,2017-07-04T11:01:57,New topic files automatically generated.,0.0
b0c738a,2017-07-04T11:09:05,Made topics visible.,0.0
b2559d1,2017-07-04T11:13:44,Minor modif with spaces,0.0
2149a1e,2017-07-04T11:15:59,Minor fixes,0.0
8a8062d,2017-07-04T11:17:51,Minor fix,0.0
c38a65b,2017-07-04T11:22:10,Remove the old playground_OLD directory,0.0
dc53b2c,2017-07-04T11:22:52,mv the playground directory to playground_OLD2,0.0
d163f70,2017-07-04T11:23:55,Create the new playground (for bibliography),0.0
3e730d0,2017-07-04T11:36:29,Clean the scripts  start to suppress the old mechanism,0.0
2bc4061,2017-07-04T12:07:01,Continue the cleaning,0.0
a676566,2017-07-04T12:11:23,Remove tocontent_header for topics  not needed anymore,0.0
39248f2,2017-07-04T12:25:20,Minor fix,1.0
b936314,2017-07-04T12:28:04,Clean the automatically generated directory,0.0
80b50f3,2017-07-04T12:30:04,rm xc.html,0.0
9f0e1f7,2017-07-04T12:37:40,Merge remote-tracking branch 'trunk/develop' into develop,0.0
df6c662,2017-07-04T12:39:46,Minor modifs,0.0
053125d,2017-07-04T12:51:50,Transfer abi_yml2html.py to yml_files (as well as other needed file),0.0
a293020,2017-07-04T13:00:05,Problem solved.,0.0
a1ed350,2017-07-04T13:05:18,Suppress the html_template directory  and perform additional cleaning.,0.0
2ab3d76,2017-07-04T13:21:33,Fix minor problem with abi_checks.py,1.0
ddff785,2017-07-04T13:28:12,modification of m_pawpsp.F90 for LDA-1/2,0.0
9707328.0,2017-07-04T13:36:53,commit avant merge Xavier,0.0
d8a456b,2017-07-04T13:37:49,Straightened the content of specials yml file.,0.0
85f8b0d,2017-07-04T13:37:57,Merge remote-tracking branch 'trunk/input-web' into input-web,0.0
1c13ce4,2017-07-04T13:57:23,Define list_topics_class.yml . Now  most of the data are outside the script.,0.0
86a1363,2017-07-04T14:12:50,Debugging libpaw.,0.0
4b7cf68,2017-07-04T14:27:46,still debugging.,0.0
d2c3ef7,2017-07-04T14:36:42,Reverted m_pawtab,0.0
3b0490a,2017-07-04T14:58:17,Sweeeeet home alabamaaaa,0.0
