hash,time,message,buggy
4aadfe9,2016-07-21T09:56:40,Attempt to merge private bzr to git,0.0
2c4a95b,2016-07-21T09:58:09,Missing files,0.0
8760a90,2016-07-25T12:52:05,Typo,1.0
6464c25,2016-07-25T12:59:08,Merge with develop branch Merge remote-tracking branch 'origin/develop' into develop,1.0
d548b1f,2016-08-04T14:25:11,Bug fix,0.0
a14e078,2016-09-26T10:28:24,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0.0
12fbc41,2016-10-12T14:10:44,Merge with trunk,0.0
f3d11b1,2016-10-12T14:34:01,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0.0
513f0a2,2016-10-25T12:55:37,Correct a small bug when lobpcg suicides,1.0
e99b11c,2016-10-27T14:05:03,Desactivate openmp for ifort -> crash,0.0
c1fc835,2016-10-27T14:05:38,Fix a bug for kpt=0 0 0 Add non local energy for NC calculations -> not tested !,1.0
99e1fd9,2016-10-28T09:22:34,LOBPCG first test ok with NC,0.0
fca7389,2016-10-28T15:52:14,Bug when paral_kgb 1 for NC : enl is incomplete,1.0
3bd4ed5,2016-11-02T15:52:39,Still trying for NC,0.0
bbf0761,2016-11-02T20:06:19,Test seem to pass but timing is new with xgBlock so number of lines differ,0.0
2ddbd29,2016-11-03T09:40:50,Ok for new lobpcg with NC and PAW.,0.0
ba67654,2016-11-03T15:40:52,Fix FPE,1.0
f900620,2016-11-03T22:59:56,Fix a FPE again (due to ecutsm...),1.0
ed24244,2016-11-04T08:06:17,Disable newlobpcg if cuda is used,0.0
410d12e,2016-11-04T08:17:35,Remove unsed variables and correct chebfi ref since preconditionning had a typo I corrected long time ago,0.0
ab8e45b,2016-11-04T11:10:51,Modify all the lobpcg tests so they succeed with both the old and the new one. Basically I just change the nline and/or ecut and the tolerance option easy/ridiculous,0.0
b723f45,2016-11-04T14:01:59,change precision calculation for succeeding with old/new lobpcg on abiref,0.0
3e0d248,2016-11-08T09:06:05,mpiio_t99 ok,0.0
c1e0663,2016-11-08T13:10:23,timana dumbyness,0.0
5654756.0,2016-11-08T13:31:06,better converge wf for respf,0.0
1c4e235,2016-11-09T18:47:04,Ok on my local laptop and should fix many bots,0.0
826c26b,2016-11-09T18:51:26,fix max2,1.0
70b68e9,2016-11-10T13:02:12,Slightly adjust tolerance,0.0
65ba346,2016-11-10T13:06:51,robodoc correction,0.0
299c538,2016-11-10T13:07:00,Merge remote-tracking branch 'refs/remotes/origin/develop' into develop,0.0
7c1eea5,2016-11-10T13:21:52,Merge remote-tracking branch 'trunk/develop' into develop,0.0
beaed51,2016-11-10T15:53:50,correction for multibinit,1.0
7c037c1,2016-11-26T15:12:27,Merge remote-tracking branch 'trunk/develop' into lobpcg_new,0.0
abab61d,2016-11-26T15:14:27,typo,0.0
1a189a5,2016-12-09T09:49:25,Merge remote-tracking branch 'trunk/develop' into lobpcg_new,0.0
ef41559,2016-12-09T10:22:36,Bug fix after merge ? strange,1.0
b725656,2016-12-13T11:08:08,Bug in fold2bloch on my desktop and HPC,1.0
91778b3,2016-12-13T11:18:59,Long time no merge ?,0.0
3140752.0,2017-01-03T10:59:39,Merge remote-tracking branch 'trunk/develop' into mytrunk,0.0
1bb4958,2017-01-03T11:20:04,Merge branch 'lobpcg_new' of gitlab.abinit.org:biederj/abinit into lobpcg_new,0.0
e6082f0,2017-01-03T11:21:50,Change test for new lobpcg,0.0
4724b45,2017-01-03T13:40:11,Merge remote-tracking branch 'trunk/develop' into lobpcg_new,0.0
865d704,2017-01-03T15:59:00,Merge bug fixed (some remaining ... ) Add prtvol in lobpcg Update doc for prtvol,1.0
f0782a2,2017-01-04T08:44:29,Merge bugs ?,0.0
cb6dc6f,2017-01-04T08:52:25,Merge bugs ?,0.0
7a45b69,2017-01-04T09:27:40,Uninitialized variable,0.0
36e6ab8,2017-01-04T13:31:24,Fix merge.. I hope,0.0
24c92d1,2017-01-04T14:36:54,Merge pb again ... Not all tests are present,0.0
41a37d2,2017-01-05T10:09:52,Starts to work,0.0
f2c4e19,2017-01-05T15:01:17,print keyword when there is an error in the input file. don't print the algortihn used for RR in lobpcg except for prtvol 4,0.0
22b1964,2017-01-05T15:49:47,try to refix timana,1.0
10fa13c,2017-01-06T16:24:59,Marc's suggestion,0.0
ccc9ed9,2017-01-09T13:59:31,Add new lobpcg to update references,0.0
20085f5,2017-01-09T14:01:16,abirules,0.0
a17dfea,2017-01-16T13:39:27,Remove openmp from opernl_ylm ->gcc6 crashed,0.0
cb0c22a,2017-01-24T11:36:51,add generator of 1st order coefficients for the fit (with symetries),0.0
7ef1580,2017-01-24T13:06:11,abirules,0.0
3b515c9,2017-02-04T02:55:19,move sytens to m_dynmat,0.0
273695d,2017-02-04T02:55:41,set elements zero by symmetry in rdddb9,0.0
19835b9,2017-02-15T17:42:55,multibinit:new version of coefficient generator (order1),0.0
2f5ab6a,2017-02-16T14:42:57,multibinit:remove print for test,0.0
478581.0,2017-02-17T09:49:44,small bugs fixed for tests,1.0
ded6a58,2017-02-17T10:56:33,Merge tag 'start-8.3.1' into develop,0.0
bf2e9f5,2017-02-17T14:43:38,Multibinit: add test for anharmonic part and ionmov 13 and change I/O of other tests,0.0
1434d13,2017-02-17T14:55:40,multibinit add test paral for anharmonic part and NPT MD,0.0
09258d8,2017-02-17T15:57:36,eff_pot.c: change error message to warning message,0.0
ed280cb,2017-02-20T11:01:40,debug multibinit on petrus,0.0
eda7a95,2017-02-20T13:27:17,Tests for multibinit: reduce computation time,0.0
7f15924,2017-02-21T10:14:41,debug tests for multibinit,0.0
b93209a,2017-02-21T13:38:09,Merge remote-tracking branch 'trunk/develop' into develop,0.0
9.86e+180,2017-02-21T13:58:44,Add test for multibinit (solved conflict with trunk),0.0
99e2b65,2017-02-24T23:15:27,Hybrid Monte Carlo: added working version of the velocity verlet for HMC  todo: cleanup the source files,0.0
e75bc8e,2017-02-25T23:07:04,HMC: pred_hmc template  pred_velverlet cleanup,0.0
cf6296e,2017-02-28T14:36:45,Initialize v8.2.3 production,0.0
6238305.0,2017-03-01T11:08:35,Merge remote-tracking branch 'trunk/develop' into lobpcg_tosubmit,0.0
6bac147,2017-03-01T12:59:39,merge error,0.0
8cea959,2017-03-01T13:55:52,Update ref with new lobpcg,0.0
2707920.0,2017-03-01T14:44:17,update ref,0.0
3d56927,2017-03-01T16:12:23,Update ref for buda,0.0
f687e9e,2017-03-01T16:13:06,Merge branch 'lobpcg_tosubmit' of gitlab.abinit.org:biederj/abinit into lobpcg_tosubmit,0.0
8c9dc77,2017-03-02T07:49:28,Better ref?,0.0
e97bc17,2017-03-02T07:50:00,Merge branch 'lobpcg_tosubmit' of gitlab.abinit.org:biederj/abinit into lobpcg_tosubmit,0.0
d4c4dab,2017-03-02T09:48:09,Update ref for 24 CPUS,0.0
d461858,2017-03-02T13:58:27,slightly increase tolerance,0.0
27dd7ee,2017-03-02T13:58:37,Merge branch 'lobpcg_tosubmit' of gitlab.abinit.org:biederj/abinit into lobpcg_tosubmit,0.0
41d9c49,2017-03-02T14:03:07,Error when merging,0.0
229fb81,2017-03-02T14:03:15,Merge branch 'lobpcg_tosubmit' of gitlab.abinit.org:biederj/abinit into lobpcg_tosubmit,0.0
960e1bb,2017-03-02T15:53:45,Hybrid MC  development version ready  test runs ok  result verification needed,0.0
db31f1f,2017-03-03T09:30:01,Fix Hybrid functionnal initialisation,1.0
d89d334,2017-03-03T16:19:12,hybrid working  tests ok  added additional specification for pred_velverlet calls from within hmc routine,0.0
712b60b,2017-03-03T16:26:05,Merge remote-tracking branch 'trunk/develop' into hmc,0.0
517562b,2017-03-04T01:08:43,try fixing abiauty test fail,1.0
cadcc14,2017-03-05T06:27:04,Introduces the forces gradually. Here  modify the m_results datastructure  and also uses the final name in setvtr.F90,0.0
76c16a9,2017-03-05T06:30:31,Correction of previous commit. Will test this one.,1.0
1f166d1,2017-03-05T21:59:06,Merge remote-tracking branch origin/_gonze/3dd9 into gonze_chempot3,0.0
26cb900,2017-03-05T23:30:53,Fix silly mistake  due to incomplete use of grchempottn  liked with gradual implementation of its use.,1.0
b087645,2017-03-06T10:20:54,multibinit: add input variables (strtarget) and small debug,0.0
e95384d,2017-03-06T11:07:03,Merge tag 'start-8.3.2' into develop,0.0
72f0145,2017-03-06T12:52:24,restore old nonlop ... Still working on it,0.0
f0ee311,2017-03-06T13:31:25,Merge remote-tracking branch 'trunk/develop' into hmc,0.0
402c104,2017-03-06T14:18:02,move test for multibinit v7 to v8 and change the name of xml outputs,0.0
ad5f4c4,2017-03-06T14:40:21,resolved merge conflict error for compilation,0.0
85ffc53,2017-03-06T14:47:52,hmc: tests ok  ready to MR,0.0
ed1f8b4,2017-03-06T15:23:11,small fix to succes tests,0.0
546e14f,2017-03-07T08:12:07,define/alloc/dealloc/grchempottn,0.0
61eb8e7,2017-03-07T08:16:24,Update setup_positron and its call,0.0
4cd86f4,2017-03-07T08:21:54,Update args of afterscfloop. Also copy in results_gs,0.0
fee9cde,2017-03-07T08:27:56,Update args of etotfor,0.0
ce77f47,2017-03-07T08:35:52,Update args of clnup2.,0.0
b04351c,2017-03-07T08:43:33,Update args of forstr + calling routines,0.0
5998228.0,2017-03-07T08:53:20,Update args of forces and calling routines,0.0
04da739,2017-03-07T08:56:02,Fix typo in scfcv.f90,1.0
4381a28,2017-03-07T11:14:59,Typo,0.0
0c0bf25,2017-03-07T11:55:00,Fix typos,0.0
161d466,2017-03-07T11:59:41,Disable the incorporation of grchempottn at the level of forces.F90 . Should be reenabled later.,0.0
bfd0f35,2017-03-07T12:16:17,Update args of setvtr + related routines.,0.0
66cdd2b,2017-03-07T12:38:50,Disable the echo of grchempottn  for testing purposes.,0.0
6dab532,2017-03-07T14:27:30,quick fixes,1.0
73378bb,2017-03-07T15:35:29,Suppress the translational invariance spuriously imposed on forces. Also finalize test v8#30.,0.0
9cfa0f7,2017-03-07T15:44:50,Update the ref file for Tv8#30 . Start test v8#31.,0.0
79b8a12,2017-03-07T15:46:57,Set again tolerances to zero. Continue to define v8#31.,0.0
3d1d072,2017-03-07T16:11:29,FIr version of test v8#31 . Not satisfactory at all  but will allow to test portability.,0.0
5271928.0,2017-03-07T16:12:13,Ref file for v8#31,0.0
f9b74eb,2017-03-08T08:06:12,Use norm-conserving pseudos instead of PAW. Convergence/portability issues are more under control.,0.0
0ed20d2,2017-03-08T08:08:06,Typo,0.0
f00edf3,2017-03-08T08:09:06,Back to Broyden for v8#31,0.0
f690e6f,2017-03-08T08:18:27,Replace http by https for link to kieron publi,0.0
68ffdf3,2017-03-08T08:24:14,Merge branch hotfix-8.2/f690 into develop,0.0
535382.0,2017-03-08T08:29:47,Merge branch develop/68ff into gonze_chempot3,0.0
2a9df2c,2017-03-08T09:54:21,Regenerate the varbas.html file,0.0
e081356,2017-03-08T09:55:20,Merge branch hotfix-8.2/2a9d into develop,0.0
efc8822,2017-03-08T10:22:32,Correct the order of pseudopotentials in input files for v8#30 and 31,1.0
8335075.0,2017-03-08T10:32:25,Define chksymbreak=0 in v8#30,0.0
aedd4a1,2017-03-08T10:33:28,Update refs ... albeit incorrec(,0.0
446561d,2017-03-08T10:33:53,Merge remote-tracking branch origin/gonze_chempot3/8335 into gonze_chempot3,0.0
541670b,2017-03-08T11:06:08,Update references for v8#30 31,0.0
848c542,2017-03-08T12:33:04,Merge branch develop/e081 into gonze_chempot3,0.0
318fe65,2017-03-08T13:19:51,Merge remote-tracking branch 'trunk/develop' into hmc,0.0
a782da3,2017-03-08T14:12:51,Fit anharmonic: change files for the script,0.0
048bd58,2017-03-08T14:13:39,Merge remote-tracking branch 'trunk/develop' into develop,0.0
fcf048d,2017-03-08T16:46:37,Merge branch develop/e081 into gonze_chempot3,0.0
bd60618,2017-03-08T16:47:36,Merge branch 'gonze_chempot3' of gitlab:trunk/abinit into gonze_chempot3,0.0
ebb1de0,2017-03-08T16:50:02,Update tolerances for v8#31,0.0
040fd56,2017-03-08T17:39:19,Update tolerances for v8#31,0.0
7001996.0,2017-03-09T10:05:53,Merge remote-tracking branch gonze_chempot3/040f into develop,0.0
15e469d,2017-03-09T10:38:04,Merge remote-tracking branch sprokh/hmc/318f into _sprokh,0.0
d2ab71c,2017-03-13T09:21:33,Merge remote-tracking branch 'trunk/develop' into lobpcg_tosubmit,0.0
04e55d5,2017-03-13T10:54:25,Correction of nonlop,1.0
dd246ee,2017-03-13T14:52:39,switch 3 and 4 in nonlop,0.0
b4cfa47,2017-03-14T11:22:37,Set some array to assumed shape,0.0
7a9c0c0,2017-03-14T15:45:40,Add wfoptalg 114 for the new lobpcg and set it to default value instead of 14,0.0
e1a5fb3,2017-03-14T16:16:25,Don't know why I had those files...?,0.0
