hash,time,message,buggy
0bb87a0,2016-08-24T15:41:14,First step introduce T-dep in optical properties,0.0
ed2515f,2016-08-25T11:25:51,After .rej of patch,0.0
64bd99a,2016-08-25T11:26:14,New file missing,0.0
d5c28c3,2016-08-25T16:01:32,Wrong patch...,1.0
24f20eb,2016-08-25T16:12:12,Mistakes yet again,0.0
65fbb07,2016-08-25T16:21:41,Yet again mistakes,1.0
5b32317,2016-08-25T19:52:18,Memory leak in optic,1.0
a59c8c7,2016-10-28T13:54:49,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into tdepoptic,0.0
c749c1d,2016-10-28T14:15:27,Missing amu in crystal_init (BTW : why is amu the first argument in crystal_init ?),0.0
15f1d04,2016-10-28T14:30:36,Coupling with lifetime not supported yet,0.0
536d49e,2016-10-28T14:49:43,Fix issue with DOS + order eigenvalues for printing,1.0
037838c,2016-10-28T19:54:59,Use xgeev only with ep_renorm included...,0.0
d6f7345,2016-10-28T20:53:24,Reading with new NetCDF routines,0.0
3e14136,2016-10-28T21:27:49,Adding tests for the T-dep of optical properties,0.0
b656bd0,2016-10-28T21:41:59,Solve part of the memory issues + anti-resonant contributions for Bi-lanczos,0.0
371e3c7,2016-10-31T14:06:57,Memory leak fixed,1.0
a79f27f,2016-10-31T17:13:50,Make test farm happy (?),0.0
4077cc3,2016-11-04T12:04:07,Use netcdf3 file instead of netcdf4,0.0
29c4339,2016-11-04T13:47:18,Upgrade refs from abiref,0.0
d9a7948,2016-11-04T18:54:48,Increase tolerances of t51,0.0
9944c18,2016-11-04T18:55:57,Remove debugging flush call,0.0
cc31139,2016-11-07T11:40:17,Allows to read netcdf sequential files with xmpi_comm_size=1,0.0
54f9f76,2016-11-07T11:48:21,Remove old code for renormalization,0.0
442daa5,2016-12-17T09:23:24,small typos,0.0
feb1bd3,2016-12-17T09:24:08,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
6c21ff2,2016-12-20T15:48:34,2 comments and a change of error to warning,0.0
04cb1b4,2016-12-20T15:48:52,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
659a4fb,2017-02-03T15:31:45,improve error message for failing to find full k grid,0.0
28388b8,2017-02-03T16:38:41,make qrefine a vector(3) to refine differently along each direction. Simple. Ref file may change numerically  but should not in principle,0.0
550166b,2017-02-03T16:40:08,removed vim backup files which should be ignored,0.0
