hash,time,message,buggy
b429c83,2016-06-22T21:14:31,Convert README files to markdown,0.0
ea4dd0c,2016-06-22T22:04:09,Add link to asciinema video,0.0
d45afab,2016-06-22T22:51:11,More markdown files,0.0
7011ad4,2016-06-25T22:22:13,Create symbolic links README --> README.md to make automake happy,0.0
ad59908,2016-07-09T15:45:53,add check on bdgw values,0.0
b63191b,2016-07-10T06:03:54,Init 8.1.4 modified:   KNOWN_PROBLEMS,0.0
8fbd030,2016-07-10T06:06:19,Modify the *.ac files for 8.1.4 modified:   configure.ac doc/configure.ac tests/configure.ac,0.0
dd1890a,2016-07-10T14:30:00,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0.0
aaa420c,2016-07-13T16:13:09,Few modifications porting 8.1.1 into 8.1.3,0.0
b21d590,2016-07-14T09:33:13,Merge branch 'develop' into 'develop',0.0
a6f6077,2016-07-14T11:31:27,This should fix the problem with luo and README.xlf,1.0
e884830,2016-07-18T00:19:43,import changes from bzr 8.1.2 branch. should pass tests - lets find out...,0.0
39dc2bc,2016-07-18T00:23:56,missing new files from bzr added,0.0
35fe99f,2016-07-18T22:53:11,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
825b18b,2016-08-03T10:44:00,stray print statement,0.0
21126cd,2016-08-03T22:53:14,improve documentation of abimem,0.0
ed76593,2016-08-06T08:52:26,Import inside gitlab develop  the modifications from v8.0.8 to v8.0.8b (including the gitlab hotfix-8.1.3 from Marc),0.0
2fe28e5,2016-08-08T11:35:56,adapt for full ETSFio netcdf case to read in DDK files,0.0
a8e9645,2016-08-08T12:52:13,reimported fixes for netcdf DDK file. Need to check full bb suite noe,1.0
566b19b,2016-08-08T17:18:29,repair default behavior in majority of cases with MPI mode output,1.0
556778d,2016-08-09T14:55:59,ddk reading should work in parallel and with no memory leaks now.,0.0
92e356e,2016-08-09T16:57:19,stray fortran unit for debugging was removed,0.0
dda624a,2016-08-09T17:23:45,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
c7cf6c3,2016-08-11T11:14:17,git should ignore vim backup files ending in tilda,0.0
591fe2b,2016-08-13T13:58:58,Update of the acknowledgment suggestions posted on the Web. Still far from being complete  but at least mentions the fourth (2016) ABINIT paper. modified:   acknowledgments.html,0.0
0d27bbe,2016-08-13T14:25:10,Update the Web bibliography and bibtex info. Modified:   bibliography.html  bibtex-refs.html,0.0
1f74e29,2016-08-13T14:30:33,Fix minor problems in acknowledgments.html,1.0
47eb3c9,2016-08-13T14:34:55,More modifs to acknowledgments.html,0.0
c130743,2016-08-13T14:39:29,More modifs of acknowledgments.html,0.0
c296948,2016-08-13T14:40:56,More changes to acknowledgments.html,0.0
97bccc2,2016-08-13T14:42:15,More acknowledgments.html,0.0
bf590f8,2016-08-13T14:43:06,modified acknowledgments.html,0.0
dccdeb3,2016-08-13T18:25:39,Update   abinit_help.html for NPROC_NO_EXTRA_LOG value (is 2 in ABINITv8 instead of 100 before),0.0
7e1b2cb,2016-08-14T08:05:57,Define previous_maxerr in  66_wfs/m_invovl.F90  and exit if a spurious divergence develops.,0.0
ebf354e,2016-08-14T15:24:45,Problem with ubu_intel_16.0_mpich for Tparal#30 . So  suppressed it #%% exclude_builders = ubu_intel_16.0_mpich    modified:   t30.in,1.0
93fe398,2016-08-14T15:27:09,Document problem with Tparal#30 with Intel 16 inside   KNOWN_PROBLEMS,0.0
f097004,2016-08-14T19:16:08,Update ref for test Tparal#30  and also exclude this test for ubu_intel_15.0_mpich. modified:   t30.in  ../Refs/t30_MPI4.out,0.0
1be446d,2016-08-15T22:12:22,Update the doc concerning so_psp modified:   abinit_vars.yml,0.0
449f17a,2016-08-15T22:26:55,Fix minor problems modified:   abinit_vars.yml,0.0
fb7e450,2016-08-15T22:27:43,Again fix a minor problem  and regenate vargs.html modified:   abinit_vars.yml  html_automatically_generated/vargs.html,0.0
9872e1e,2016-08-15T22:31:51,Refer to pawspnorb in the doc of so_psp   modified:   abinit_vars.yml,0.0
ac1d3b9,2016-08-16T13:55:29,Merge gmatteo/develop/a6f6,0.0
d4ccdce,2016-08-16T17:27:45,Enforce strict control on the availability of spin-orbit inside a pseudo if spinor=2  usepaw=0. modified:   57_iovars/chkinp.F90,0.0
9cb5a08,2016-08-16T17:29:28,Git pull from the gitlab,0.0
110a550,2016-08-16T17:45:41,Fix minor typo.	modified:   57_iovars/chkinp.F90,0.0
d950850,2016-08-16T19:28:08,Fix minor bug in chkinp   introduce so_psp 0  in test input files when needed ...   ../src/57_iovars/chkinp.F90   v1/Input/t39.in   v2/Input/t76.in  v3/Input/t47.in  v7/Input/t05.in    v7/Input/t06.in,1.0
e662d08,2016-08-16T20:39:42,Update ref files  because of changes linked to so_psp  ../../v1/Refs/t39.out   ../../v2/Refs/t76.out    ../../v3/Refs/t47.out   t05.out t06.out,0.0
4df88ee,2016-08-16T21:29:00,Fix minor problems modified:   bibtex-refs.html,1.0
e8a9251,2016-08-16T21:30:57,Minor fixes modified:   acknowledgments.html,0.0
dff9a15,2016-08-16T22:23:35,Clean and improve formatting of the DMFT lesson. modified:   lesson_dmft.html,0.0
9c4a2b1,2016-08-17T06:30:12,Merge remote-tracking branch remotes/gonze/develop/dff9 into trunk/_gonze,0.0
fae2644,2016-08-17T06:33:55,Issued python abinit_vars.py . Modified  html_automatically_generated/vareph.html  html_automatically_generated/vargs.html,0.0
26a57df,2016-08-19T10:25:02,change nband_occ to mband_occ  and introduce spin dep nband_occ for sums over different numbers of bands according to isppol,0.0
b216bf3,2016-08-19T16:52:16,corrected alloc and destroy of dtefield arrays in particular nband_occ,0.0
290fa17,2016-08-19T18:20:10,[buildsys] Upgraded CPP options in source code,0.0
300d773,2016-08-19T18:49:40,[buildsys] Upgraded CPP options in build-system internals,0.0
27a4e9a,2016-08-19T19:01:20,Made sure ViM swap files are ignored within the Abinit source tree,0.0
32686bf,2016-08-19T19:03:45,[buildsys] Re-upgraded CPP options in the source code after including recent ones,0.0
79685b9,2016-08-19T19:04:33,[buildsys] Re-upgraded CPP options in build-system internals after including recent ones,0.0
5476d3a,2016-08-19T19:05:56,[buildsys] Upgraded CPP options in test inputs,0.0
ea678d1,2016-08-19T19:07:29,[buildsys] Upgraded CPP options in test scripts,0.0
7e94422,2016-08-19T22:17:06,[buildsys] Removed stale references to obsolete CPP options,0.0
740933a,2016-08-19T23:27:03,[buildsys] Imported CPP option fixer,0.0
1972092.0,2016-08-20T21:45:36,Change the initialization of pawspnorb when nspinor=2. Also change the initialization of kptopt when nspden=4. modified:   ../.gitignore  ../src/57_iovars/indefo.F90  ../src/57_iovars/indefo1.F90  ../src/57_iovars/invars1.F90,0.0
db544d4,2016-08-20T21:47:50,Ignore abichecks.env new file:   .gitignore,0.0
9a091ef,2016-08-20T22:02:40,Update doc related to initialization of pawspnorb and kptopt modified:   abinit_vars.yml  html_automatically_generated/varbas.html html_automatically_generated/varpaw.html,0.0
a8df06d,2016-08-20T22:07:43,Fix wrong link modified:   abinit_vars.yml html_automatically_generated/varpaw.html,1.0
b833997,2016-08-21T06:50:54,Fix typo	modified:   57_iovars/invars1.F90,1.0
6efc307,2016-08-21T09:22:47,Update Ref file due to change with defaulr value of pawspnorb#	modified:   ../Input/t16.in t16.out,0.0
394270a,2016-08-21T11:52:29,Modify input file  due to pawspnorb modified:   t03.in,0.0
766b426,2016-08-23T18:22:13,Removed Bazaar dependency and updated warnings in makemake,0.0
2e150f3,2016-08-24T09:26:17,Merge branch 'develop' of gitlab.abinit.org:pouillon/abinit into develop,0.0
45f63d0,2016-08-24T13:24:26,corrected naming convention for occ states in tddft routine,0.0
ca7ce28,2016-08-24T13:25:19,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into develop,0.0
de4bbac,2016-08-26T10:45:37,Merge branch 'develop' of abinit:trunk/abinit into develop,0.0
e057bf6,2016-08-26T10:47:35,Fixed CPP options,1.0
94b2ac7,2016-08-30T17:40:51,Better treatment of nbdbuf in dfpt_cgwf for PAW,0.0
09bb0d1,2016-08-31T11:37:54,small change in dfpt_nstpaw,0.0
