hash,time,message,buggy
c78fa79,2017-08-12T12:54:10,Initialize v8.4.4,0.0
2639ecb,2017-08-21T18:00:07,Add test to forbid use of vdw-df with PAW,0.0
4cca9ae,2017-08-22T16:14:01,Ensure nproc_slk>0,0.0
10b2a85,2017-08-22T16:18:29,Bug fix (test case from R. Cohen): prtden<0 was not compatible with parallelism over atoms,1.0
a4eb856,2017-08-23T13:16:09,Bug fix: g-vectors were not correctly computed when getcell/=0,1.0
96db9d4,2017-08-23T16:42:51,Bug fix: had tu use blas intead of matmul in m_fock (because of the increment in an array),1.0
5b9d0af,2017-08-23T17:58:09,Another bug fix in m_fock,1.0
96ab5d9,2017-08-23T18:15:31,Add several tests in chkinp for incompatible options,0.0
8c68ff8,2017-08-24T18:27:32,Support for ELPA 2016,0.0
cca257f,2017-08-28T14:47:40,ELPA 2017 support (new F2008 API),0.0
e61e3bb,2017-08-28T18:51:17,Bug fix in pawdijxc (case pawxcdev=0 only  very rare),1.0
2f6d160,2017-08-28T19:19:32,Had to hack abilint to make the class statement accepted,0.0
6d5ec3c,2017-08-28T19:57:58,make libxc 3 accepted by the build system,0.0
6a1ce4f,2017-08-28T23:40:41,Revert a change in m_fock,1.0
e465fe6,2017-08-29T12:16:00,ELPA implementation improved,0.0
ac7f76a,2017-08-29T14:10:15,2 libxc tests: suppress functionals that do not exist anymore in libxc 3,0.0
f7b5b25,2017-08-29T14:52:54,6 libxc tests: suppress functionals that do not exist anymore in libxc 3,0.0
4897000000000.0,2017-08-29T15:06:09,Activate support for libXC 3.0 (libXC 2.2 still usuable),0.0
67a76c0,2017-09-04T10:32:52,Improvment of libXC v3 + C-API implementation,0.0
d500301,2017-09-05T11:17:13,Improve ELPA detection by the build system,0.0
7e82a30,2017-09-11T18:46:49,This version should handle getcell and getwfk correctly,1.0
57bfe69,2017-09-11T19:18:58,Simplfy inwffil arguments,0.0
b33aa8e,2017-09-12T15:53:02,Adjust 2 refs due to new getcell treatment,0.0
fbef7c0,2017-09-12T15:58:32,chkinp modified: npfft+openMP,0.0
223816c,2017-09-13T10:53:55,Update another ref file after getcell modifications,0.0
da90d0e,2017-09-13T10:58:50,These lines in m_fock did not compile with xlf,1.0
67c171c,2017-09-13T11:12:47,Upgrade atompaw version (needed after libxc upgrade),0.0
12fcd62,2017-09-13T11:31:39,oupps  type in fallback.conf,0.0
c2d2b3c,2017-09-15T18:52:06,BigDFT upgrade (following libXC upgrade) + libPAw improvments,0.0
85bff4c,2017-09-15T18:56:46,Bug fix in m_pawdij (concerns only electronpositron) - Thanks to J. Wiktor,1.0
85c2929,2017-09-15T19:38:18,correct wrong hyperlinks (following website upgrade),1.0
d4fba7b,2017-09-16T01:09:35,Change bigDFT tarball md5,0.0
a75c01a,2017-09-16T02:24:07,Change bigDFT tarball md5,0.0
ff4f9d4,2017-09-17T05:28:33,Issued abi_yml2html.py   start to finalize v8.4.4,0.0
b9ae50c,2017-09-17T13:15:39,Replace obsolete links for the ftp documents  and the ABINIT papers  by the new links (cf emails with Marc and JMich),1.0
873b1cf,2017-09-17T13:21:51,Improve slightly the previous commit.,0.0
370776f,2017-09-17T21:18:50,Fix the last problem detected by linkchecker in v8.4.4,1.0
