hash,time,message,buggy
cba0257,2017-08-08T11:38:08,Tuned PSML tests to make them faster,0.0
daa003d,2017-08-08T11:38:08,Tuned PSML tests to make them faster,0.0
cff70fe,2017-09-13T14:10:01,Merge tag 'start-8.5.3',0.0
eb78a36,2017-12-08T14:38:35,added orbmag as an input variable,0.0
f5523e3,2017-12-20T13:47:16,debug stress tensor in multibinit and update tests,1.0
01415ea,2018-01-11T13:51:39,added orbmag data type  initorbmag.F90 much like initberry.F90,0.0
937875a,2018-01-15T15:10:59,added consistency checks for orbmag variable,0.0
5d0905a,2018-01-18T09:32:51,changed expibi and qijb_kk to work on arbitrary delta k,0.0
dc61d5b,2018-01-18T15:33:33,added chern_number.F90 mainly to test wavefunction overlaps,0.0
28ae716,2018-01-19T15:32:50,initial try at chern number calculation  PAW on-site part only,0.0
1ce3dd6,2018-01-20T12:58:28,chern number  PAW part fully operational,0.0
237450e,2018-01-20T12:59:50,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
a986d8e,2018-01-23T13:18:32,chern_number  both paw and planewave working  first version,0.0
b0a9e23,2018-01-24T16:26:02,Chebfi was not compatible with paral_kgb=0,1.0
13e33b2,2018-01-24T17:12:59,Improve ELPA detection,0.0
6e6912c,2018-01-24T19:05:55,Improve chebfi/paral_kgb/bandpp default values,0.0
3b27367,2018-01-25T09:32:57,Slight modif in mpi_setup,0.0
878fe2c,2018-01-26T16:09:45,Save a huge amount of memoey in anaddb,0.0
2adec8b,2018-01-29T06:19:35,Initialize v8.7.4,0.0
9ffe75b,2018-01-29T20:12:32,Fix bug in mkphdos introduced in gitlab version (PJDOSes do not sum up to TOT_PHDOS),1.0
5e75622,2018-01-30T02:12:11,Update ref files for PHDOS (DOS_type is now ok and agrees with trunk/master,0.0
a48ec6a,2018-01-30T02:52:09,Add more ref files for PHDOS-derived quantities to prepare refactoring,0.0
f33fbfb,2018-01-30T14:22:11,Set msqd terms to zero if < tol12,0.0
11413d9,2018-01-30T14:22:58,Fix long line,1.0
9c41f56,2018-01-30T14:23:00,Merge branch 'phdos' of gitlab.abinit.org:gmatteo/abinit into phdos,0.0
654017f,2018-01-30T19:30:05,Fix reallocation error,1.0
c835220,2018-01-30T21:24:07,Huge speedup in mkphdos (x20 and even more if gauss and dense ngqpt),0.0
c0ffcc5,2018-01-31T17:40:12,Divide in 2 a too long error message,0.0
5006138.0,2018-01-31T17:58:26,abirules-t04 reference changed : 2 lines have been displaced (strange),0.0
8300199.0,2018-01-31T19:39:01,improve error msg in case of PAW overlap,0.0
94069db,2018-02-01T08:02:11,abirules/buildsys,0.0
2166758.0,2018-02-01T14:04:05,Use tetra_blochl_weights instead of tetra_get_onewk  should be faster if nprocs == 1,0.0
a460ef3,2018-02-01T16:09:42,Discretized density operator Chern number,0.0
07a3db9,2018-02-01T16:11:16,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
3f51a27,2018-02-04T06:34:36,Ignore tdep binary,0.0
523ad5d,2018-02-04T06:44:24,Clean m_tetrahedron.F90,0.0
7eb78d4,2018-02-04T06:58:19,Remove unused arguments,0.0
e252950,2018-02-04T07:06:58,Remove unused args,0.0
063ee3a,2018-02-04T07:11:40,Remove unused args,0.0
d989158,2018-02-04T07:15:38,Remove unused args,0.0
94eda6d,2018-02-04T07:19:07,Remove unused arg,0.0
b3e975c,2018-02-04T07:21:34,Remove unused args,0.0
7501d79,2018-02-04T07:26:35,Remove unused args,0.0
b85d3b1,2018-02-04T07:30:57,Remove unused args,0.0
5f1283d,2018-02-04T07:33:41,Remove unused args. They have been removed in all routines that do not belong to modules  and for which there is no CPP directive problem.,0.0
adeaa33,2018-02-04T10:48:47,chern_number fully working  needs beautification and test,0.0
7880bd6,2018-02-04T21:33:43,Fix bug in delta_weights if degenerate tetra,1.0
2fd10d6,2018-02-05T05:52:21,Merge branch 'hotfix-8.6' into _torrent,
75c7551,2018-02-05T06:47:50,Fix merge,1.0
3bf39cf,2018-02-05T12:51:33,clean chern_number.F90  add test,0.0
526bbff,2018-02-06T05:40:54,Update refs for abirules # 3 & 4,0.0
3687959.0,2018-02-06T10:40:11,debug sign for the strain coefficients and add new bound process,1.0
2e8a257,2018-02-06T10:49:39,update multibinit tests,0.0
20bc013,2018-02-06T11:07:31,remove unusable variable and small bug fixed,0.0
44ea3cd,2018-02-06T11:30:11,Merge tag '8.7.3' into Multibinit,0.0
b4d819d,2018-02-06T11:35:28,abirules,0.0
00cd6ac,2018-02-07T10:10:57,document and clean chern_number.F90,0.0
c99ae18,2018-02-07T10:11:29,Merge branch 'develop' of gitlab:trunk/abinit into develop,0.0
a097079,2018-02-07T12:03:30,cleaned robodoc headers in chern_number.F90 and mkpwind_k.F90,0.0
356ab03,2018-02-07T19:17:36,Improve fulfilment of abirules,0.0
c008c15,2018-02-07T19:27:55,Suppress unused args. Fix problems in doc for orbmag.,1.0
647468c,2018-02-07T21:25:00,Suppress unused variables.,0.0
c1c529e,2018-02-07T22:13:53,Remove unused variables,0.0
3a9b808,2018-02-08T06:15:25,Remove the last big bunch of unused variables.,0.0
b0e7a62,2018-02-08T06:17:11,Update reference for abirules#03,0.0
7819e2e,2018-02-12T21:39:42,Remove old code in mkphdos,0.0
c9e7e5d,2018-02-12T21:39:57,Merge branch 'develop' of gitlab.abinit.org:trunk/abinit into phdos,0.0
3.5e+92,2018-02-12T22:38:11,Have to use to 4-th vertex to make the tests pass,0.0
7372928.0,2018-02-12T22:38:40,This one is ok,0.0
2f1bd83,2018-02-12T22:39:28,This one,0.0
b2c6d05,2018-02-13T00:58:24,Add --mpi-args to runtests  remove unused variables,0.0
8ad76a8,2018-02-14T09:31:57,change the default for the cutoff of anharm IFC,0.0
401959a,2018-02-14T12:01:59,Update tolerances  for bob+openmp,0.0
b5bcf8b,2018-02-14T12:20:36,Remove some unused arguments.,0.0
3447844.0,2018-02-14T12:37:38,Fix problems due to prior suppression of unused args,1.0
c700ab9,2018-02-14T13:11:06,Modifs to pass with abiref_nag_6.2_openmpi : modif nstep for libxc#72  prevent testing paral#25&30   fix problem with shape mismatch for mpiio#42.,0.0
3411947.0,2018-02-14T13:48:37,Suppress unused args,0.0
ee84f0f,2018-02-14T14:04:42,Update ref for abirues#4  also upgrade generated_files/varset_gstate.html,0.0
548e5d0,2018-02-14T15:02:33,Merge remote-tracking branch 'trunk/develop' into Multibinit,0.0
4391844.0,2018-02-14T15:18:06,Update libxc#72 reference  due to change of nstep15 from 25 to 22.,0.0
541918c,2018-02-14T15:28:48,Write explicitly the lower bound for vcount.,0.0
5a5732a,2018-02-14T21:07:36,Correct subscript out of range (detected by NAG 6.2),0.0
b6990c5,2018-02-15T12:48:52,Merge branch 'develop' into nag62,0.0
fa43042,2018-02-15T15:59:40,Merge remote-tracking branch 'trunk/develop' into Multibinit,0.0
e069d87,2018-02-16T11:31:54,abirules,0.0
0ddde9a,2018-02-19T11:05:36,debug and add nctime for multibinit,1.0
e45ce16,2018-02-19T12:04:40,debug when nctime==0,1.0
6de29b7,2018-02-19T12:07:40,abirules,0.0
