hash,time,message,buggy
85d420f,2017-11-21T11:53:45,Debugging of dfpt_mkvxc_noncoll for nlxccc case,0.0
822f7ee,2017-12-08T15:06:41,Modification of the scf_history_type to allow storing only the wavefunctions   init and free scf_history_wf. Should compile.,0.0
ced1f27,2017-12-08T15:17:04,Define new input variable wfmix.,0.0
5efc706,2017-12-08T15:47:36,Improve the documentation for wfmix,0.0
f0f3d2a,2017-12-08T15:53:11,Fix typo,0.0
c35c764,2017-12-08T16:00:01,Fix typo in doc,0.0
dd7a083,2017-12-08T16:05:57,Fix args of scf_history_init,1.0
2cbf1ba,2017-12-08T17:35:15,Fix missing declaration,0.0
0dd687c,2017-12-11T12:57:30,Complete coding (not debugged) of simple mixing of WFs  in NC and k-point parallelism (PAW not complete  band-fft parallelism not complete).,0.0
7c2b011,2017-12-11T14:37:45,Compilation is OK.,0.0
1d42aa0,2017-12-11T14:44:06,Define new test v7#69 (at present  same as v7#t67),0.0
ba2ad39,2017-12-11T16:03:27,Fix bugs. Now test v7#69 executes properly with simple mixing and wfmix=one (so  no mixing ...),1.0
c9aefd8,2017-12-20T09:44:54,Define the Fock istep outer loop counter,0.0
cda8ea0,2017-12-20T09:49:37,Debugging modifications - to be removed afterwards,0.0
9eb237c,2017-12-20T09:53:30,Temporary commit of light test directory,0.0
baca663,2017-12-20T20:37:48,Merge branch 'develop' into wfmix2,0.0
4a8ec04,2017-12-21T22:00:04,Merge remote-tracking branch 'trunk/develop' into develop,0.0
f7a1655,2017-12-22T10:05:03,merge,0.0
2bb81c6,2017-12-22T11:47:51,some minor changes includig new input variable ixcrot,0.0
369e460,2017-12-22T12:21:34,mistake in 57_iovars/chkinp.F90 corrected,1.0
be3a5b3,2017-12-22T15:31:41,preparation of an automatic test for DFPT in non-collinear  MnO AFM with GS  ddk and atom+E-field perturbations  put in t70.in,0.0
e5604f1,2017-12-22T20:54:13,Define new routine dotprod_set_cgcprj.F90  modify wf_mixing.F90 accordingly. Still to be compiled and tested.,0.0
9be2112,2017-12-22T20:57:52,Continue to debug,0.0
0b83fcc,2017-12-22T21:03:14,Merge branch 'wfmix2' of gitlab:trunk/abinit into wfmix2,0.0
d9d4ac1,2017-12-22T21:21:09,Fix minor problems : src/66_wfs/dotprod_set_cgcprj.F90 pass abilint,1.0
c4c6b20,2017-12-22T21:53:57,Fix several typos.,0.0
ba3b315,2017-12-22T21:54:38,Fix several typos,0.0
6f04d52,2017-12-22T21:54:51,Merge branch 'wfmix2' of gitlab:trunk/abinit into wfmix2,0.0
f11f66f,2017-12-23T09:05:30,The native matrix element computation for sets of wfs  and the dotprod_set_cgcproj give the same results.,0.0
77c7b39,2017-12-23T09:48:57,The inversion is now working  and tested in one case.,0.0
d1eb6ae,2017-12-23T14:14:49,Simple mixing is working. Update test v7#69.,0.0
59301a9,2017-12-23T14:20:05,Merge branch 'develop' into wfmix2,0.0
3c7fda6,2017-12-23T14:37:49,Merge branch 'wfmix2' of gitlab:trunk/abinit into wfmix2,0.0
b7697e5,2017-12-23T22:17:38,Create 66_wfs/lincom_cgcprj.F90  and use it (did not try to compile yet !),0.0
